x,y
374.54011884736246,950.7143064099162
731.9939418114051,598.6584841970366
156.01864044243652,155.99452033620264
58.083612168199465,866.1761457749351
601.1150117432088,708.0725777960456
20.584494295802447,969.9098521619943
832.4426408004217,212.33911067827617
181.82496720710063,183.4045098534338
304.2422429595377,524.7564316322379
431.94501864211566,291.22914019804193
611.8528947223795,139.49386065204183
292.1446485352181,366.3618432936917
456.069984217036,785.1759613930136
199.6737821583597,514.2344384136117
592.4145688620424,46.45041271999773
607.5448519014384,170.52412368729154
65.05159298527951,948.8855372533333
965.6320330745593,808.3973481164611
304.6137691733707,97.67211400638388
684.2330265121569,440.1524937396013
